taxonomy_id	name	rank	USA.74b_ERR1713399_db6.diamond	USA.74a_ERR1713398_db6.diamond	USA.74d_ERR1713401_db6.diamond	USA.74c_ERR1713400_db6.diamond	USA.74_ERR1713397_db6.diamond
2927791	Cognatiluteimonas sedimenti	species	32	14	14	20	60
1170456	Flaviramulus aquimarinus	species	4	0	1	3	8
1966355	Eoetvoesiella sp.	species	16	26	23	31	55
1540257	Clostridium sp. KNHs214	species	13	7	11	54	87
2213010	Simplicispira lacusdiani	species	245	136	154	90	175
3133968	Ottowia sp. VDI28	species	27	276	98	110	168
2755386	Klebsiella sp. MISC125	species	6	10	18	1	4
1434001	Extensimonas	genus	90	44	110	534	107
97050	Ruegeria	genus	34	11	20	7	102
2002841	Konateibacter massiliensis	species	53	20	74	82	417
2594003	Ferrovibrio terrae	species	15	5	3	11	47
1486257	Maricaulis sp.	species	37	2	4	15	94
186823	Alicyclobacillaceae	family	18	4	6	10	56
271432	Arthrobacter pigmenti	species	2	3	0	1	0
2714601	Solimonas marina	species	10	1	8	4	26
1433999	Domibacillus	genus	5	4	3	3	11
1414720	Clostridium saudiense	species	9	7	31	19	36
380	Sinorhizobium fredii	species	16	21	16	23	73
1851429	Christensenella intestinihominis	species	39	19	30	23	131
1004	Chitinophaga sancti	species	45	9	7	2	65
76832	Myroides odoratimimus	species	64	104	112	116	255
2169400	Paragemmobacter aquarius	species	20	48	21	6	30
3067275	Psychrobacter sp. M13	species	88	31	22	30	67
2763658	Ligaoa zhengdingensis	species	37	134	127	75	218
1965277	Zoogloea sp. LCSB751	species	38	24	64	33	84
450798	Catenulispora subtropica	species	5	1	0	0	9
2587140	Rhizobacter sp. SG703	species	14	5	7	0	23
3149227	Flavobacterium aestuarii	species	96	177	525	9	113
2749962	Pseudolactococcus paracarnosus	species	106	423	1570	11	421
1172626	Croceicoccus estronivorus	species	90	133	47	30	127
1523425	Novosphingobium sp. AAP83	species	124	7	17	6	19
2919924	Cupriavidus sp. WGlv3	species	2	1	0	0	1
3375145	Flavobacterium sp. RNTU_13	species	13	4	8	3	28
2067669	Cohaesibacter celericrescens	species	5	1	0	1	7
454600	Gracilimonas tropica	species	27	6	2	4	23
198481	Psychrobacter luti	species	21	9	9	9	17
1734920	Pseudorhodoplanes	genus	340	66	129	179	4701
908251	Branchiibius	genus	13	23	37	31	51
1455061	Candidatus Magnetobacterium casense	species	251	61	30	79	228
686800	Aerolutibacter ruishenii	species	22	8	11	21	36
2628988	unclassified Terriglobus	no rank	10	0	2	4	15
2600305	Baekduia sp.	species	51	13	19	22	3068
2562762	Lampropedia aestuarii	species	26	61	82	87	140
1643948	Kosmotogaceae	family	55	6	18	6	10
90964	Staphylococcaceae	family	55	116	182	109	575
695999	Actinophytocola	genus	6	3	0	5	34
2795215	Brachybacterium halotolerans	species	14	7	3	0	10
3041266	Pelagicoccus sp. SDUM812002	species	26	17	3	8	39
1250005	Polaribacter sp. Hel1_85	species	3	1	1	0	2
1816695	Bacillus tuaregi	species	1	0	1	2	4
2492394	Cognatilysobacter segetis	species	5	2	2	2	24
106649	Acinetobacter guillouiae	species	118	2958	680	267	665
44747	Holospora	genus	45	5	4	9	55
913761	Variovorax defluvii	species	13	7	7	2	29
1964215	Roseivirga sp.	species	44	5	8	6	32
2811231	Algoriphagus oliviformis	species	6	2	5	5	11
2800421	Oceaniferula flava	species	40	10	3	5	19
1406885	Aliiglaciecola	genus	1	0	2	0	1
349096	Pectinatus haikarae	species	209	72	322	1457	491
190976	Methanobrevibacter woesei	species	10	24	46	34	228
1324796	Pseudoluteimonas lycopersici	species	167	816	989	1509	2173
37734	Enterococcus casseliflavus	species	85	374	373	98	307
173676	Novosphingobium hassiacum	species	159	37	19	9	364
913108	Aggregatilinea lenta	species	144	22	52	30	207
1632866	Alkalimarinus sediminis	species	6	1	13	10	7
1236179	Janthinobacterium sp. B9-8	species	9	0	4	13	8
51	Chondromyces apiculatus	species	145	20	22	19	604
3115648	Pseudomyxococcus flavus	species	30	12	6	14	46
2650471	Lacipirellula parvula	species	55	5	5	26	184
1628085	Agathobaculum butyriciproducens	species	78	487	621	293	1120
3140176	Scytonema sp. NUACC26	species	10	1	4	6	42
901	Desulfovibrio piger	species	58	84	131	325	166
1978412	Sediminibacterium roseum	species	132	16	18	15	56
1798805	Pararhizobium antarcticum	species	4	5	11	6	11
184917	Solidesulfovibrio magneticus	species	72	20	53	597	226
54294	Thermosyntropha lipolytica	species	24	10	10	8	30
147047	Humidesulfovibrio mexicanus	species	39	5	30	103	43
2847324	Parafannyhessea sp.	species	6	3	10	7	24
167964	Anaerolinea thermophila	species	35	10	8	2	17
698827	Desulfonatronovibrio magnus	species	79	18	6	47	27
2838785	Bellilinea sp.	species	262	63	57	29	93
3346652	Inquilinus sp. NPDC058860	species	7	0	0	1	21
2093857	Dysosmobacter welbionis	species	28	232	268	129	269
257440	Pleomorphomonas koreensis	species	35	201	1604	1956	2922
465721	Steroidobacter denitrificans	species	92	10	65	5	631
1445504	Gynuella	genus	7	3	4	14	7
2767358	Mycoplasmopsis	genus	11	4	6	3	32
636	Edwardsiella tarda	species	7	26	7	13	11
1291540	Methanomethylophilus alvi	species	33	133	137	112	320
1620385	Oryzobacter terrae	species	30	18	5	2	3
99286	Flavobacterium frigidarium	species	86	113	158	30	231
133539	Nitrosococcus halophilus	species	29	6	5	9	91
254	Chryseobacterium indoltheticum	species	29	55	69	47	121
1631356	Luteipulveratus halotolerans	species	29	26	4	3	11
3140744	Neisseria sp. Ec49-e6-T10	species	44	53	215	1103	776
1917887	Parabacteroides sp. Marseille-P3160	species	108	95	101	111	306
2026350	Enterovirga sp.	species	18	167	382	39	429
2335	Thermotoga	genus	39	16	8	10	36
1075417	Catalinimonas alkaloidigena	species	115	15	20	12	118
329857	Cohnella	genus	168	45	37	65	203
1263547	Oscillibacter ruminantium	species	75	55	85	211	1056
1055231	Erythrobacter westpacificensis	species	5	1	1	4	1
91360	Desulforhopalus singaporensis	species	80	17	25	139	54
2674997	Tellurirhabdus rosea	species	27	4	4	1	17
2078660	Vallitalea okinawensis	species	53	14	16	26	85
1274	Dermacoccus nishinomiyaensis	species	36	25	51	10	137
2703788	Edaphobacter sp. 12200R-103	species	7	7	4	7	32
45663	Desulfohalobium retbaense	species	46	4	3	21	24
53343	Desulforamulus aeronauticus	species	15	9	10	16	47
2082386	Methylibium sp. Pch-M	species	23	5	33	54	94
512294	uncultured Akkermansia sp.	species	99	403	466	499	429
3374186	Flavobacterium sp. FlaQc-57	species	12	10	10	4	13
1918611	Muribaculum sp.	species	5	5	11	5	47
2984140	Campylobacter sp. CS_ED1	species	235	545	1677	419	10393
113653	Geoglobus ahangari	species	23	0	4	1	5
2572203	Dyadobacter bucti	species	40	28	15	16	51
2825842	Flavobacterium erciyesense	species	25	56	92	4	48
667306	Aciditerrimonas ferrireducens	species	39	18	7	0	98
2981724	Alitiscatomonas aceti	species	6	63	125	154	94
2094568	Herpetosiphon llansteffanensis	species	6	5	3	0	29
2930036	Caldanaerobacter sp.	species	12	3	10	7	17
450367	Peribacillus frigoritolerans	species	51	16	36	44	102
492670	Bacillus velezensis	species	192	34	107	157	79
151654	Cupriavidus laharis	species	2	1	1	3	5
2844403	Rhodovibrionaceae	family	33	3	3	23	300
2964617	unclassified Halalkalibaculum	no rank	13	2	1	3	4
433643	Leifsonella bigeumensis	species	20	66	25	3	26
3076558	Paraflavitalea speifideaquila	species	81	22	11	2	76
1886027	Mucilaginibacter sp. PPCGB 2223	species	12	6	5	8	22
2593672	Arcobacter sp. FWKO B	species	31	17	43	851	128
57739	Vogesella	genus	56	24	90	91	209
2377	Sporomusa termitida	species	94	13	43	96	177
996	Flavobacterium columnare	species	96	90	179	92	220
2647897	unclassified Candidatus Pelagibacter	no rank	14	3	8	7	25
45497	Schnuerera ultunensis	species	22	24	32	23	22
1453541	Pseudoxanthomonas helianthi	species	56	193	72	318	495
670486	Dehalogenimonas	genus	110	23	21	20	71
61644	Chromatium okenii	species	173	33	72	124	239
1054034	Arcobacter cloacae	species	247	55	495	1100	697
3138077	Flavobacterium magnesitis	species	40	20	20	5	22
1406512	Candidatus Methanomassiliicoccus intestinalis	species	24	41	155	36	132
2764716	Flavobacterium muglaense	species	111	198	687	46	462
3003257	Flavobacterium aestivum	species	28	23	30	12	47
221953	uncultured Brachyspira sp.	species	53	230	130	139	368
2004	Streptosporangiaceae	family	160	94	54	68	693
3404058	Variovorax sp. R-27	species	3	1	1	0	2
1892	Streptomyces anulatus	species	15	1	4	0	11
413496	Cronobacter	genus	32	17	49	50	28
980251	Mariniblastus fucicola	species	85	4	6	17	146
2814140	Chamaesiphon sp.	species	12	4	1	1	20
2320860	Azospirillum cavernae	species	12	2	5	3	47
3064161	Atrimonas thermophila	species	21	9	6	6	2
2815795	unclassified Bilifractor	no rank	10	20	35	36	261
2975742	Streptomyces sp. NBC_00441	species	1	0	2	0	0
3112251	Pseudomonas sp. MS-1(2024)	species	3	1	2	2	2
186807	Peptococcaceae	family	49	46	69	37	72
1920299	Parasphingopyxis sp.	species	23	4	7	5	51
1977564	Pigmentiphaga sp.	species	49	22	20	13	70
746032	Mobilicoccus pelagius	species	9	18	8	0	23
2852117	Vreelandella profundi	species	1	2	0	0	0
610254	Desulfosoma caldarium	species	57	19	11	55	38
2583851	Elizabethkingia sp. JS20170427COW	species	19	52	68	175	722
400772	Microbacterium ginsengisoli	species	5	3	6	1	10
2135632	Acidovorax sp. 93	species	13	35	96	38	76
1655419	Rhabdobacter roseus	species	59	288	19	12	38
1970406	Novosphingobium sp. 17-62-19	species	415	6	4	4	22
1912214	Alkalihalobacterium alkalicellulosilyticum	species	4	0	2	1	6
3140251	Pedobacter sp. FW305-3-2-15-E-R2A2	species	15	1	4	2	12
574710	Polaribacter gangjinensis	species	14	7	9	0	3
418008	Methanosarcina horonobensis	species	22	2	7	8	24
1903261	Mailhella massiliensis	species	10	7	13	40	30
335405	Sphingosinicella	genus	355	64	71	295	327
295418	Rubellimicrobium	genus	18	15	7	7	29
595692	Haloferula luteola	species	123	28	13	26	65
2892329	Pseudomonas parasichuanensis	species	2	4	6	3	2
592376	Agromyces atrinae	species	4	14	7	5	15
266123	Castellaniella caeni	species	18	13	41	80	72
2991441	Pseudomonas sp. PS02285	species	1	23	10	0	1
1940789	Lactococcus petauri	species	71	117	634	68	204
1891659	Chitinophaga sp. CB10	species	12	2	3	1	8
283735	Leeuwenhoekiella	genus	24	11	7	4	41
919	Thiobacillus	genus	188	59	108	479	338
1872666	Azohydromonas sp.	species	67	17	21	12	371
254250	Isoptericola	genus	22	16	12	10	24
1736237	Acidovorax sp. Leaf78	species	24	60	61	42	108
763439	Caenimonas	genus	55	11	7	4	85
136843	Pseudomonas fluorescens group	species group	24	196	70	17	33
1763534	Flavobacterium crassostreae	species	39	1229	964	23	153
2291814	Chitinophaga silvisoli	species	117	186	338	510	398
2058658	Brumimicrobium salinarum	species	47	16	10	6	26
2804649	Massilia sp. TSP1-1-2	species	8	14	8	4	7
3031459	Desulfonatronovibrionaceae	family	18	5	9	52	17
1826909	Pedobacter psychrophilus	species	36	10	7	1	18
160454	Enterococcus pallens	species	3	8	11	6	8
1869182	Nakamurella sp.	species	89	515	1006	237	679
1922226	Anderseniella sp. Alg231-50	species	22	4	0	3	58
40681	Sphingomonas asaccharolytica	species	9	6	2	4	7
861051	Marinoscillum luteum	species	6	1	2	0	5
2024406	Psychrobacter sp. JB193	species	26	6	23	7	47
2908645	Kaistella sp. 97-N-M2	species	44	440	45	34	52
459515	Nakamurella lactea	species	13	21	18	15	26
2494209	Capsulimonas	genus	236	29	32	18	234
39029	Megasphaera cerevisiae	species	408	213	966	896	2186
2792783	Luteirhabdus pelagi	species	11	2	1	1	12
40216	Acinetobacter radioresistens	species	53	260	191	102	237
1912855	Faecalimonas umbilicata	species	91	356	1253	1830	687
3417969	Granulosicoccus sp. 3-233	species	13	7	3	7	15
1962974	Geothrix sp.	species	97	33	35	54	450
2804532	Belnapia mucosa	species	12	6	0	4	96
2800681	Aurantiacibacter	genus	18	4	3	5	19
1506996	Desulfoprunum benzoelyticum	species	133	25	50	332	68
2763662	Yeguia hominis	species	81	235	291	205	395
1675686	Sulfurifustis variabilis	species	41	7	3	12	105
2787620	Desulfallas sp. Bu1-1	species	29	5	10	7	20
1769726	Niveibacterium	genus	99	59	338	230	396
266126	Azonexus caeni	species	89	27	41	162	152
3409804	Gudongella sp. DL1XJH-153	species	29	20	147	185	72
310767	Zoogloea oryzae	species	39	30	93	41	228
1736576	Pseudoxanthomonas sp. Root65	species	23	6	8	75	41
49893	Holospora obtusa	species	31	5	5	11	36
2697515	Flavobacterium phycosphaerae	species	46	7	10	17	58
1034346	Dielma fastidiosa	species	71	223	562	538	588
391	Rhizobium sp.	species	10	19	38	24	97
3342328	Pseudorhodoferax sp. LjRoot39	species	55	43	58	52	56
1934400	Pseudorhodobacter sp.	species	101	92	151	9	66
2608340	Chryseobacterium sp. Tr-659	species	2	1	3	2	6
183795	Pseudomonas mediterranea	species	25	16	41	45	28
2486751	Paenibacillus solisilvae	species	9	3	2	2	14
1393122	Thermoflavifilum thermophilum	species	18	5	7	2	9
2910681	Clostridium sp. YIM B02500	species	2	4	13	5	13
2732487	Usitatibacter palustris	species	74	12	25	13	431
40520	Blautia obeum	species	123	1126	2167	2405	1270
252966	Mahella australiensis	species	152	38	36	30	140
158847	Megamonas hypermegale	species	75	57	141	225	387
3037797	Piscinibacter sp. XHJ-5	species	62	14	14	12	179
3342096	Mucilaginibacter sp. cycad4	species	8	1	1	1	5
1114875	Flavobacterium branchiicola	species	6	16	16	1	10
1300035	Bradyrhizobium retamae	species	11	10	5	13	52
407975	Hoylesella pleuritidis	species	56	3	3	5	63
2580425	Faecalibacterium sp. Marseille-P9312	species	8	59	87	89	30
1324801	Muriicola marianensis	species	1	1	0	0	1
1553903	Oligoflexus	genus	119	32	42	29	262
3231483	Meridianimarinicoccus marinus	species	3	0	1	0	13
2870339	Ottowia caeni	species	161	154	158	156	197
1648520	Conyzicola	genus	7	42	4	4	6
2268030	Dongia deserti	species	34	17	15	33	5450
46503	Parabacteroides merdae	species	138	267	494	600	836
1679460	Marinibacterium profundimaris	species	3	0	3	2	5
2798583	Geomonas anaerohicana	species	12	2	4	2	11
404770	Marinobacterium litorale	species	25	11	45	125	49
1768757	Sphingomonas sp. CCH10-B3	species	10	2	0	10	13
3242473	Ectobacillus sp. sgz5001026	species	3	2	6	5	13
82800	Desemzia	genus	7	74	37	23	7
668570	Methanospirillum lacunae	species	36	9	48	117	87
2633235	unclassified Methylibium	no rank	181	36	18	19	170
2135635	Acidovorax sp. 100	species	37	54	122	74	167
2954799	Aeoliella straminimaris	species	89	20	5	10	149
2795781	Aeoliella	genus	68	13	8	24	241
437739	uncultured Lutibacter sp.	species	164	30	60	108	136
2704250	Candidatus Roseilinea sp. NK_OTU-006	species	269	62	66	29	522
2164067	Algihabitans albus	species	15	2	4	9	64
133	Methylocystis	genus	74	104	172	53	2249
2587011	Pseudoxanthomonas sp. OG2	species	5	3	8	3	5
2081970	Paenibacillus montanisoli	species	9	3	2	1	37
2963939	Methylomonas rapida	species	11	2	6	3	28
1855285	Rhodoferax sp. OV413	species	62	73	78	36	53
1137985	Lutibacter holmesii	species	7	5	10	4	12
445220	Reyranella massiliensis	species	52	33	55	473	438
2636670	unclassified Lactonifactor	no rank	22	12	21	30	105
3140456	Psychrobacter sp. S1-30-MNA-CIBAN-0213	species	6	2	3	4	2
321984	Pseudoduganella plicata	species	2	0	1	1	1
1961413	Desulfobacter sp. UBA2225	species	49	5	6	37	12
1769291	Oceanivirga salmonicida	species	38	66	407	379	177
1046556	Nocardioides daejeonensis	species	4	2	6	3	7
185978	unclassified Paenibacillus	no rank	180	74	185	179	486
3156748	Streptomyces sp. NPDC006307	species	10	44	37	22	25
3038538	Nocardioides sp. CER19	species	3	5	1	1	9
2035255	Candidatus Methanoperedens sp. BLZ2	species	51	22	27	15	86
1972137	Bosea sp. Tri-44	species	8	5	6	6	12
2004646	Acinetobacter sp. WCHA55	species	11	80	74	34	39
1198649	Legionella sp. W05-934-2	species	24	4	0	4	16
1915499	Methanoculleus sp. UBA312	species	68	197	47	6	1
2763016	Anaerofilum hominis	species	246	464	1269	1284	6523
216778	Stenotrophomonas rhizophila	species	15	13	17	18	47
1	root	no rank	107	532	1505	481	439
2710882	Rhodobacter sp. SGA-6-6	species	53	83	172	463	169
1964179	Silvibacterium sp.	species	9	2	0	3	15
459529	Sphingobacterium siyangense	species	24	27	53	57	109
1368474	Romboutsia sedimentorum	species	6	15	26	5	21
53366	Catellatospora citrea	species	15	5	3	5	11
2509614	Rhodoferax sediminis	species	45	43	51	9	40
459	Legionella sp.	species	134	32	70	161	247
3423912	Nocardioides sp. GXQ0305	species	5	1	2	0	13
1200567	Ruminobacter sp. RM87	species	3	0	0	4	5
3068341	Rhodoferax mekongensis	species	32	43	53	26	44
2870716	Neoroseomonas	genus	285	253	204	80	408
2651974	Hydrogenophaga sp. BPS33	species	43	36	28	28	54
2770592	Flammeovirga sp. EKP202	species	19	2	2	2	4
2682230	Tepidiforma sp.	species	82	6	3	10	99
1654934	Desulfoprunum	genus	180	69	64	543	56
758823	Vampirovibrio chlorellavorus	species	26	4	9	14	101
307627	Winogradskyella poriferorum	species	19	10	7	7	13
2175957	Ruficoccus	genus	30	6	1	12	25
223785	Hydrogenimonas	genus	12	2	3	11	22
84980	Desulfotalea psychrophila	species	28	4	12	50	26
1315974	Sphingobium sp. TKS	species	53	10	8	9	216
2014535	Pandoraea sp. CB10b_02	species	3	4	7	7	12
926357	Asanoa siamensis	species	3	0	2	0	4
674703	Rhodoplanes sp. Z2-YC6860	species	55	54	46	17	695
111770	Thiothrix fructosivorans	species	203	51	114	315	95
2609279	unclassified Massilia	no rank	75	594	103	28	200
2950437	Aliifodinibius sp. S!AR15-10	species	24	5	4	4	25
1100699	Limnohabitans sp. 2KL-1	species	35	20	36	19	23
329936	Desulfosporosinus lacus	species	10	6	13	84	18
2212991	Clostridium sp. AWRP	species	15	1	17	7	34
3042689	Polyangium sp. 6x1	species	65	5	5	7	247
1435465	Fluviicoccus keumensis	species	67	24	32	19	1250
3058365	Shiella aurantiaca	species	64	15	14	10	54
1953203	Candidatus Sordicultor fermentans	species	69	37	149	24	71
1380356	Blastococcus sp. URHD0036	species	5	3	4	0	8
1408819	Youngiibacter fragilis	species	90	53	97	266	140
2760713	Lacibacter sediminis	species	113	11	15	4	88
2981636	Huintestinicola	genus	73	287	620	82	1030
101191	Methanomethylovorans	genus	55	38	59	88	819
3046670	Comamonas resistens	species	78	466	1189	393	2374
1492737	Flavobacterium gilvum	species	44	29	48	3	43
65402	Acidaminobacter	genus	65	40	100	443	84
2761487	Gelidibacter maritimus	species	7	5	3	2	2
1327752	Idiomarina aquatica	species	4	0	0	1	0
2614947	unclassified Sphingorhabdus	no rank	48	18	3	6	76
2527987	Allorhodopirellula solitaria	species	23	1	2	3	39
1904827	Chloroflexus sp.	species	134	19	18	27	162
2231721	Muricoccus radiodurans	species	20	10	6	5	55
1853130	Pseudomonas silesiensis	species	20	31	15	7	27
586	Providencia	genus	89	39	154	127	166
648780	Haloactinopolyspora alba	species	6	2	4	5	18
44576	Nitrosomonas halophila	species	11	1	3	9	16
2315876	Coralloluteibacterium	genus	9	0	0	3	14
2005569	Lacimicrobium sp. SS2-24	species	5	0	3	1	4
2668052	Mangrovibacterium lignilyticum	species	65	38	27	36	58
1839785	Acinetobacter portensis	species	27	124	45	27	54
2967169	Acinetobacter sp. 5862	species	13	14	28	61	84
2879942	Rhizobium sp. SG_E_25_P2	species	2	2	2	1	5
2728841	Pseudoflavitalea sp. G-6-1-2	species	33	11	5	4	61
2991062	Paraburkholderia sp. MM5477-R1	species	10	5	3	2	7
3082771	Acutalibacteraceae	family	106	77	221	162	1415
1348853	Novosphingobium malaysiense	species	99	8	3	2	34
1489678	Deinococcus sp. RL	species	1	4	3	1	25
1962975	Rhodoblastus sp.	species	47	62	145	49	703
579922	Indibacter alkaliphilus	species	7	3	0	5	10
1670619	Nitratireductor soli	species	6	5	4	2	18
75796	Aromatoleum diolicum	species	23	6	15	19	38
1410681	Methyloglobulus morosus	species	21	3	2	6	202
164393	Latilactobacillus fuchuensis	species	53	9059	211	7	39
2997340	Frigidibacter sp. RF13	species	56	22	26	8	278
84646	Candidatus Odyssella	genus	281	87	164	520	296
1303256	Sphingobium sp. DC-2	species	23	5	10	13	25
2846742	Candidatus Borrarchaeum sp.	species	64	38	24	15	30
1441053	Flavobacterium sp. UMI-01	species	31	38	107	10	287
527198	Mariniflexile	genus	98	21	43	152	34
3156331	Bradyrhizobium sp. RT10b	species	2	0	0	0	9
159268	uncultured Veillonella sp.	species	87	148	432	295	323
1259262	Cryobacterium cheniae	species	3	3	0	0	0
376804	Phocaeicola barnesiae	species	51	14	39	21	196
3133165	Solibaculum intestinale	species	64	125	261	159	291
503170	Salisaeta longa	species	18	2	1	4	21
1603606	Desulfuromonas soudanensis	species	56	14	9	20	56
46352	Agrococcus	genus	30	29	38	21	28
3041257	Pelagicoccus sp. SDUM812005	species	54	5	6	6	18
1983706	Leucobacter weissii	species	4	27	37	13	37
3073100	Candidatus Cetobacterium colombiensis	species	3	0	1	1	5
2763654	Luoshenia tenuis	species	15	25	18	22	72
378211	Methyloversatilis universalis	species	54	11	35	142	102
312279	Emticicia oligotrophica	species	92	9	8	2	47
29405	Microlunatus phosphovorus	species	98	372	338	378	368
287990	Marinitoga hydrogenitolerans	species	6	3	3	3	5
3104324	Nitrospirillum sp. BR 11164	species	2	0	2	4	6
1216932	Clostridium bornimense	species	31	6	31	10	84
121038	Ferrimicrobium	genus	19	2	5	1	26
468528	Desulfopila inferna	species	63	21	44	146	44
3031760	Nocardioides sp. YIM 152315	species	3	4	0	2	14
3240275	Flavobacterium sp. W22_SRS_FK3	species	8	3	12	1	12
696074	Caenimonas terrae	species	95	33	15	23	64
2508882	Ornithinimicrobium sufpigmenti	species	11	10	12	3	11
1158338	Persephonella sp. IF05-L8	species	2	1	1	1	3
253245	Owenweeksia hongkongensis	species	119	20	8	10	90
285473	Streptomyces rubrolavendulae	species	1	0	0	0	0
29459	Brucella melitensis	species	56	51	774	411	340
1379270	Gemmatimonas phototrophica	species	85	1	0	2	60
119	Rubinisphaera brasiliensis	species	16	3	1	2	50
1510391	Geobacter soli	species	23	13	6	47	5
599651	Bermanella	genus	4	1	0	1	0
2692584	Sunxiuqinia indica	species	39	41	20	52	78
2837493	Methanohalobium sp.	species	93	27	14	31	36
2565558	Hydrogenophaga sp. PAMC20947	species	119	66	47	28	64
2787729	Flavobacterium sp. CG_9.10	species	5	7	7	0	149
438033	Ruminococcus gauvreauii	species	14	18	28	15	47
48935	Novosphingobium aromaticivorans	species	72	20	8	8	41
2633320	unclassified Amaricoccus	no rank	70	30	23	16	91
2691583	Acerihabitans arboris	species	3	0	0	0	3
1406	Paenibacillus polymyxa	species	41	62	105	85	101
533207	Acanthopleuribacteraceae	family	58	7	5	16	110
2722793	Tepidanaerobacter sp. GT38	species	22	30	9	19	31
2507075	Methanosarcina sp. MSH10X1	species	14	2	2	1	6
3039283	Cellulosispirillum alkaliphilum	species	192	141	46	70	207
288019	Yeosuana aromativorans	species	6	0	1	3	12
2015901	Massilicoli timonensis	species	53	146	258	248	399
271155	Flavobacterium antarcticum	species	57	55	79	60	143
2806304	Aggregatilineales	order	67	13	26	14	182
2135637	Acidovorax sp. 106	species	53	164	366	124	333
234834	Brevibacterium permense	species	11	1	0	2	8
54293	Thermosyntropha	genus	32	25	16	1	16
1810868	Mycoavidus	genus	5	1	1	5	11
3342277	Variovorax sp. LjRoot178	species	17	2	6	1	20
185979	unclassified Bacillus (in: firmicutes)	no rank	28	22	35	27	83
2618799	unclassified Minwuia	no rank	12	1	2	0	44
105841	Anaerostipes caccae	species	73	347	475	409	381
1331910	Thermogutta terrifontis	species	74	6	17	14	40
3403078	Endozoicomonas sp. ALC066	species	13	5	24	82	31
2823234	Allosphingosinicella sp.	species	84	50	30	21	7295
270	Thermus	genus	142	60	139	39	135
2232	Archaeoglobaceae	family	38	13	4	1	6
1844971	Curvibacter sp. AEP1-3	species	43	84	136	119	97
1499392	Chromobacteriaceae	family	100	71	2106	255	573
216465	Polaromonas naphthalenivorans	species	307	705	359	52	110
392484	Methylophaga thiooxydans	species	6	1	2	1	9
190895	Vibrio rotiferianus	species	18	0	2	4	9
2041841	Miniphocaeibacter massiliensis	species	9	8	8	13	35
69824	Thomasclavelia cocleata	species	180	683	678	666	2951
84111	Eggerthella	genus	103	474	1919	2260	1037
2807628	Phycicoccus sonneratiae	species	37	16	4	13	5
40841	Succiniclasticum ruminis	species	79	30	77	134	606
69963	Azorhizophilus paspali	species	4	6	7	4	6
3133318	Sorangium sp. So ce693	species	1	0	0	0	7
3415673	Bradyrhizobium sp. McL0615	species	7	6	5	2	123
2763673	Yanshouia hominis	species	44	198	147	67	389
37330	Nocardia nova	species	6	31	14	3	383
1896196	Porphyrobacter sp. LM 6	species	21	0	3	5	31
463303	uncultured Fluviicola sp.	species	41	6	24	2	29
556529	Flavobacterium algicola	species	16	11	13	2	15
213554	Halomonas campaniensis	species	5	1	2	3	5
3037653	Evansella sp. AB-P1	species	4	1	0	3	4
2729996	Crocosphaera sp.	species	28	21	12	9	51
3101276	Candidatus Poriferisocius sp.	species	296	124	30	20	948
490095	Haloferula helveola	species	229	40	14	33	93
3396783	Cloacibacillus sp. DZ-S5	species	66	17	14	45	9
60548	Paraburkholderia graminis	species	6	20	9	5	109
3116574	Hyphobacterium marinum	species	14	0	1	1	16
471827	Candidatus Desulforudis audaxviator	species	51	21	9	8	25
397456	Gulbenkiania	genus	62	53	14815	63	1210
1945953	Acinetobacter sp. UBA6720	species	7	84	32	18	42
125287	Ornithinimicrobium	genus	98	66	73	22	76
3446121	Haloarchaeobius sp. TZWWS8	species	3	0	0	3	0
2895469	Paenalcaligenes niemegkensis	species	12	8	12	10	7
2552766	Meridianimarinicoccus aquatilis	species	6	2	2	5	9
1946551	Flavobacterium sp. UBA6031	species	98	84	160	162	1532
1225769	Paludibacterium paludis	species	9	4	5	17	25
1526	[Clostridium] aminophilum	species	28	28	36	39	247
2036025	Pontibacterium	genus	7	0	2	4	8
341036	Desulfotruncus arcticus	species	42	13	19	27	34
1535231	Altibacter	genus	10	0	1	0	3
3019067	Sulfurovum zhangzhouensis	species	6	1	6	19	7
2782243	Arcobacter vandammei	species	28	8	26	192	35
3034020	Halomontanus rarus	species	11	2	0	0	11
2758440	Changpingibacter yushuensis	species	52	308	904	415	489
2866724	Chitinilyticum piscinae	species	27	8	17	14	53
2944150	Congzhengia	genus	70	2579	230	85	259
416213	Ferrovum myxofaciens	species	71	20	35	61	98
1127829	Candidatus Brocadiales	order	84	9	14	23	47
641876	Elusimicrobiaceae	family	174	32	176	248	711
1971898	Neptunomonas sp.	species	10	2	1	7	95
46180	Nonomuraea rubra	species	6	2	0	0	4
3002440	Flavobacterium sp. SUN046	species	106	103	113	30	151
2717340	unclassified Rhabdaerophilum	no rank	39	15	28	10	27
65475	Sporichthya sp.	species	5	1	1	3	22
2683345	Zwartia panacis	species	46	64	115	81	147
186814	Thermoanaerobacteraceae	family	113	47	74	94	178
210408	Thiorhodococcus drewsii	species	27	2	1	26	32
2509004	Apibacter muscae	species	16	14	15	22	63
2827238	Zooshikella harenae	species	4	1	1	4	6
180282	Delftia tsuruhatensis	species	179	407	602	227	563
454144	Persicirhabdus sediminis	species	68	13	7	22	27
645	Aeromonas salmonicida	species	209	43	212	163	157
1748249	Candidatus Magnetominusculus xianensis	species	87	16	22	33	98
