taxonomy_id	name	rank	USA.74g_ERR1713404_db6.diamond	USA.74f_ERR1713403_db6.diamond	USA.74e_ERR1713402_db6.diamond	USA.74i_ERR1713406_db6.diamond	USA.74h_ERR1713405_db6.diamond
2608929	unclassified Klebsiella	no rank	17	4	33	39	183
2865162	Acinetobacter sp. PW68	species	18	14	51	12	25
2601035	Acinetobacter sp. YH01021	species	4	1	10	39	89
1911570	Mangrovicoccus ximenensis	species	6	1	9	9	51
2872636	Nitratidesulfovibrio sp. SRB-5	species	8	22	17	24	92
691816	Bacteroides rodentium	species	5	2	8	8	31
51194	Desulfofustis	genus	12	29	283	55	254
2488563	Psychrobacter pygoscelis	species	3	10	26	54	40
34003	Paracoccus aminophilus	species	1	8	19	28	58
1104781	Agriterribacter humi	species	2	5	8	10	51
2817862	Proteiniclasticum aestuarii	species	17	10	24	54	160
2644710	unclassified Formosa	no rank	1	0	1	3	15
3342283	Phenylobacterium sp. LjRoot219	species	4	5	9	82	19
442734	Neolewinella antarctica	species	3	1	7	27	16
1977877	Acinetobacter sp. ANC 5054	species	6	2	20	90	40
361277	Terribacillus saccharophilus	species	1	2	1	7	11
129817	Pseudomonas brenneri	species	8	9	26	27	80
1246	Leuconostoc lactis	species	3	3	139	14	45
1869337	Parabacteroides sp.	species	6	17	33	44	200
29546	Lawsonia intracellularis	species	9	29	29	45	140
2736608	Streptococcus thalassemiae	species	1	0	0	0	0
190323	Plantibacter	genus	5	3	1	10	13
2086273	Subdoligranulum sp. APC924/74	species	53	117	286	101	407
1915473	Methanobrevibacter sp. UBA188	species	11	2	7	11	20
2662455	Paraclostridium dentum	species	5	25	13	21	50
28261	Thermodesulfovibrio	genus	19	60	36	98	119
1736379	Marmoricola sp. Leaf446	species	2	0	1	10	2
1871013	Parabacteroides timonensis	species	2	0	5	3	30
1562974	Comamonas piscis	species	16	40	150	60	318
1100711	Limnohabitans sp. G3-2	species	2	0	0	36	17
692370	Tsuneonella dongtanensis	species	8	1	6	14	11
2496117	Variovorax beijingensis	species	24	29	166	268	511
1561	Clostridium baratii	species	7	12	7	40	48
1155954	Paenibacillus maysiensis	species	1	1	0	2	5
1353277	Rhizobium freirei	species	1	1	6	0	1
3025317	Luteimonas sp. BLCC-B24	species	9	13	17	67	34
1003	Thermoflexibacter ruber	species	8	8	19	161	92
2608867	Escherichia ruysiae	species	10	14	42	18	120
2109328	Halomonas litopenaei	species	3	0	2	1	6
39497	Eubacterium xylanophilum	species	9	8	8	69	175
2835536	Croceicoccus gelatinilyticus	species	2	0	1	12	11
1977881	Acinetobacter sp. ANC 4470	species	6	5	41	20	33
133	Methylocystis	genus	18	37	49	215	146
3364428	Pseudomonas sp. NPDC079367	species	1	0	1	1	4
563	Shimwellia blattae	species	1	2	9	0	4
2709659	Flavobacterium difficile	species	19	15	100	34	157
408074	Chitinophaga terrae (ex Kim and Jung 2007)	species	4	1	2	22	50
2495594	Geobacter sp. SVR	species	9	38	22	182	85
2714958	Candidatus Cyanaurora vandensis	species	3	6	2	236	9
981	Persicobacter diffluens	species	6	6	11	32	86
353852	Mycoplasma nasistruthionis	species	2	0	0	1	7
2625061	unclassified Dyadobacter	no rank	9	8	4	60	98
3403078	Endozoicomonas sp. ALC066	species	10	9	30	106	64
1888892	Sphingomonas turrisvirgatae	species	2	4	12	49	15
2820403	Rhabdothermincola	genus	18	68	54	670	227
2726362	Faecalicatena faecalis	species	4	2	13	8	10
2880651	Pseudodesulfovibrio thermohalotolerans	species	14	39	49	18	61
135083	Selenomonas noxia	species	3	12	13	47	45
2766470	Leuconostoc falkenbergense	species	27	20	626	82	433
2642155	unclassified Microcoleus	no rank	9	17	14	102	35
3381348	Eubacterium sp. F2	species	3	7	8	103	48
3158780	Ruminococcus sp. YE282	species	22	8	32	98	107
2806262	Hydrogenophaga sp. YM1	species	3	1	6	6	6
3159516	Chryseobacterium sp. Alg-005	species	2	4	11	13	26
2294033	Paenirhodobacter hankyongi	species	7	30	748	78	32
2184519	Hydrogenophaga sp. NH-16	species	6	15	22	212	224
1162968	Homoserinibacter gongjuensis	species	5	26	36	85	110
306540	Halolactibacillus halophilus	species	6	5	7	9	46
35554	Geobacter sulfurreducens	species	9	35	21	57	108
2936508	Paenibacillus hamazuiensis	species	3	2	2	9	16
43064	Trichococcus pasteurii	species	25	20	61	418	1441
1455061	Candidatus Magnetobacterium casense	species	18	352	39	257	143
365343	Epilithonimonas caeni	species	7	7	36	14	73
3447667	Flavobacterium sp. RSSA_27	species	6	1	20	37	397
3443728	Variovorax sp. LT1R16	species	5	2	6	46	103
1007676	Companilactobacillus ginsenosidimutans	species	1	1	8	26	0
1803579	Rhodococcus sp. YH3-3	species	3	1	2	0	2
1763452	Tianweitania	genus	3	2	5	7	5
1672639	uncultured Imperialibacter sp.	species	3	2	2	11	44
430797	Rubritalea spongiae	species	1	16	2	53	13
614	Serratia liquefaciens	species	3	3	26	17	33
83655	Leclercia adecarboxylata	species	19	27	61	155	154
376815	Variovorax soli	species	2	8	14	35	47
2213158	Modestobacter altitudinis	species	2	1	2	37	3
384933	Salibacterium aidingense	species	2	0	1	8	4
219687	Gemmatimonadaceae	family	22	28	30	184	133
1905758	Helicobacter sp. 13S00401-1	species	1	3	7	17	7
2815818	Sodaliphilus sp.	species	14	10	50	161	460
2100740	Paradesertivirga mongoliensis	species	5	3	31	18	29
1691940	Clostridium luticellarii	species	1	3	6	6	21
3159632	Salmonella sp. s24813	species	1	0	2	0	0
2706776	Salipiger sp. PrR003	species	2	0	2	5	8
151894	Pedobacter africanus	species	15	17	22	20	220
2913616	Prevotella sp. E13-17	species	5	1	2	22	26
1420851	Methyloprofundus sedimenti	species	5	7	8	29	6
1176537	Olivibacter ginsenosidimutans	species	3	1	6	13	23
2829795	Parvicella tangerina	species	8	9	15	163	151
2729135	Acidithiobacillus montserratensis	species	2	1	8	10	22
98668	Mycolicibacterium septicum	species	1	2	0	43	11
253	Chryseobacterium indologenes	species	15	11	94	71	190
2301235	Taibaiella helva	species	2	5	4	37	25
179995	Anaerobiospirillum thomasii	species	3	0	1	25	29
28129	Prevotella denticola	species	2	1	8	22	65
2993659	Hoeflea poritis	species	2	2	2	6	2
515897	Pontibaca methylaminivorans	species	2	6	5	11	22
3088135	Flexistipes sp.	species	5	9	2	15	21
483423	Estrella lausannensis	species	9	57	38	86	52
2913261	Paraburkholderia tagetis	species	2	2	1	3	1
623280	Parapedobacter luteus	species	1	0	2	1	0
3109433	Chryseobacterium sp. MHB01	species	17	9	20	11	20
3342257	Massilia sp. LjRoot122	species	1	3	4	17	15
55969	Leucobacter komagatae	species	1	4	5	145	30
1183419	Agrobacterium genomosp. 13	species	2	0	2	0	1
3396783	Cloacibacillus sp. DZ-S5	species	10	23	38	37	212
3141326	Kiloniella sp. GXU_MW_B19	species	1	4	5	11	13
2011008	Bacillus alkalisoli	species	2	0	0	0	3
2626254	unclassified Actinomadura	no rank	1	5	7	44	12
2967169	Acinetobacter sp. 5862	species	13	12	76	47	141
3378071	Desulfobaculum sp. SPO524	species	6	24	19	28	81
2040280	Marmoricola endophyticus	species	1	1	2	53	3
577	Raoultella terrigena	species	7	4	27	26	100
3383487	Mycobacterium sp. HUMS_1102779	species	2	6	18	16	4
2293093	Coprococcus sp. OM04-5BH	species	12	5	9	30	281
416949	Parapedobacter	genus	5	17	17	72	91
3369405	Klebsiella sp. K822	species	10	26	129	64	335
1348505	Polycladomyces	genus	1	0	1	14	4
2527691	Rhodoferax aquaticus	species	14	9	24	159	128
340095	Thermodesulfovibrio thiophilus	species	6	42	4	8	43
1123067	Rubellimicrobium mesophilum	species	1	3	1	80	4
2601131	Acinetobacter sp. YH12151	species	2	2	7	8	14
80679	Thioflavicoccus mobilis	species	1	1	2	512	13
48465	Prosthecobacter dejongeii	species	4	50	22	435	70
1785	Mycobacterium sp.	species	17	74	107	1092	162
51048	Actinobacillus porcinus	species	10	15	55	6	88
74325	Brevundimonas poindexterae	species	1	0	2	3	4
1147123	Caloramator quimbayensis	species	13	6	6	25	77
2708340	Actinomyces sp. zg-332	species	1	0	0	10	6
3073143	Bengtsoniella intestinalis	species	12	7	27	79	115
3241255	Pseudomonas sp. MD330_11	species	18	1	394	5	37
1708790	Tsuneonella rigui	species	22	2	7	1	4
2321204	Candidatus Marinarcus	genus	27	6	4	16	799
1890675	Herbaspirillum sp.	species	7	9	38	92	135
48073	Microbulbifer	genus	7	31	26	381	93
1855325	Prevotella sp. KH2C16	species	4	0	4	45	33
108007	Thermanaerovibrio velox	species	11	70	44	27	114
1699624	Psychrobacter sp. P11G5	species	1	0	3	16	8
278993	Thermincola	genus	5	37	24	21	78
1962289	Dehalobacter sp.	species	18	85	47	127	182
2293637	Candidatus Jettenia sp. AMX1	species	11	67	29	202	74
2707176	Ideonella livida	species	4	20	16	63	60
189	Novispirillum itersonii	species	7	3	25	29	63
1940526	Labilibaculum filiforme	species	10	16	13	55	433
1618	Liquorilactobacillus mali	species	4	3	26	1	9
2036754	Chelatococcaceae	family	5	9	54	22	34
2903142	Rhabdothermincola salaria	species	15	30	46	1049	118
1207056	Pseudopedobacter beijingensis	species	5	2	5	27	78
104	Cyclobacterium marinum	species	8	9	18	27	46
2676057	Schaedlerella sp.	species	4	7	20	92	57
2917717	Kordiimonas laminariae	species	3	0	25	6	21
127886	Halalkalibacter hemicellulosilyticus	species	1	0	1	1	2
53408	Pseudomonas citronellolis	species	43	132	104	70	229
2668052	Mangrovibacterium lignilyticum	species	9	53	24	34	244
1453349	Nonlabens sp. YIK11	species	3	1	0	8	17
1904252	Vogesella sp.	species	15	17	73	55	251
253245	Owenweeksia hongkongensis	species	5	3	11	76	93
53344	Staphylococcus delphini	species	2	0	1	3	4
396005	Gilvimarinus chinensis	species	1	1	0	6	3
2170730	Acinetobacter sp. AM	species	4	3	83	9	8
2320081	Acutalibacter sp. 1XD8-33	species	5	8	10	27	42
1400386	Bythopirellula	genus	9	61	78	153	38
1229520	Alkalibacterium sp. AK22	species	3	2	0	7	5
1563	Desulfosporosinus orientis	species	8	5	18	26	84
442431	Persicitalea	genus	4	2	0	2	6
2734618	Microbacterium sp. NIBRBAC000506063	species	1	0	2	25	14
3398209	Neptuniibacter sp. QD37_11	species	1	2	8	14	28
83552	Parachlamydia acanthamoebae	species	6	29	18	38	5
51197	Syntrophobotulus glycolicus	species	15	17	11	25	75
1977873	Acinetobacter sp. ANC 3813	species	9	1	34	15	34
2904247	Fulvivirga maritima	species	1	1	3	13	21
2707006	Microbacterium paulum	species	6	10	33	132	381
1261636	Anaerostipes sp. 494a	species	2	0	10	9	9
1897630	Motiliproteus sp. MSK22-1	species	3	2	0	25	20
2854784	Acidovorax sp. sic0104	species	29	25	114	274	466
2978127	Aquabacterium sp. OR-4	species	10	4	28	59	165
1833	Rhodococcus erythropolis	species	6	7	8	56	25
2923279	Ignatzschineria rhizosphaerae	species	8	1	8	22	73
1550240	Thermoanaerobacterium sp. RBIITD	species	7	6	4	7	31
3366814	Desulfovibrio sp. WGS1351	species	17	79	71	63	207
2675054	Thiosulfatimonas sediminis	species	2	0	5	4	12
2989819	Xanthomonas chitinilytica	species	8	15	34	63	71
2268457	Virgifigura deserti	species	4	0	13	24	21
2918901	Paenibacillus roseopurpureus	species	1	2	1	7	4
307480	Chryseobacterium vrystaatense	species	2	3	13	9	37
555313	Phocaeicola abscessus	species	3	3	16	38	124
2825842	Flavobacterium erciyesense	species	4	5	5	17	95
2079792	Mycetocola zhujimingii	species	2	0	1	27	1
708131	Aurantimicrobium minutum	species	1	4	10	827	14
2815808	Bullifex sp.	species	2	3	1	11	18
259357	unclassified Alcaligenes	no rank	2	8	11	25	137
1201288	Bacteriovorax sp. Seq25_V	species	5	3	12	63	366
2636677	unclassified Psychrobacillus	no rank	3	2	0	4	16
1604774	Novosphingobium gossypii	species	2	0	1	12	1
3041098	Halopseudomonas sp. SMJS2	species	3	0	0	1	6
2952225	Methylomonas subterranea	species	3	2	5	35	8
186807	Peptococcaceae	family	5	10	10	31	80
2530199	Acidaminobacter sp. JC074	species	17	7	9	36	169
1114873	Flavobacterium tructae	species	3	4	8	9	37
2795430	Novipirellula sp.	species	1	0	3	10	11
3126390	Comamonas sp. wu1-DMT	species	4	3	13	6	24
2761164	Actinomyces sp. 186855	species	3	2	9	2	30
2754717	Candidatus Hakubella thermalkaliphila	species	10	421	29	119	71
1855340	Nitrosovibrio sp. Nv6	species	3	4	4	9	22
747656	Streptococcus danieliae	species	7	16	152	17	11
2126993	Paraburkholderia sp. C35	species	1	1	1	13	13
1802253	Sulfurimonas sp. RIFCSPLOWO2_12_36_12	species	18	2	7	15	79
82348	Streptococcus pluranimalium	species	19	33	361	36	30
39693	Mycolicibacterium porcinum	species	2	2	6	17	5
658665	Dorea sp. D27	species	4	0	2	10	10
97084	Halobacteriovorax marinus	species	2	4	14	28	225
1980696	uncultured Negativibacillus sp.	species	19	10	45	65	153
2870716	Neoroseomonas	genus	38	81	105	2558	375
3412686	Undibacterium sp. WLX3042	species	7	4	25	123	97
2607285	Azospirillum sp. Sh1	species	1	2	4	11	8
1933032	Melaminivora sp.	species	18	10	48	135	175
38313	Shewanella algae	species	10	11	46	745	127
1771349	Tepidisphaerales	order	5	35	72	89	73
2661613	Pseudodesulfovibrio alkaliphilus	species	4	7	5	11	33
202955	Acinetobacter tjernbergiae	species	2	1	45	16	33
2706948	Aureibaculum	genus	3	0	6	29	25
516123	Sporosalibacterium faouarense	species	1	9	6	16	49
645616	Eoetvoesiella caeni	species	14	22	31	1477	1555
2731925	Thermanaeromonas sp. C210	species	5	7	2	21	18
376489	Halotalea alkalilenta	species	2	2	10	31	26
2991934	Methylophaga sp. OBS3	species	1	0	0	3	3
1544455	Flavobacterium jejuense	species	16	21	351	43	297
1737061	Pseudohalioglobus lutimaris	species	3	14	5	101	25
219685	Gemmatimonadia	class	2	6	13	33	12
3365962	Streptomyces sp. NPDC090442	species	3	6	11	77	55
1392489	Leeuwenhoekiella sp. MAR_2009_132	species	17	10	72	31	134
201096	Alicycliphilus	genus	15	7	73	74	92
2854260	Porphyrobacter sp. ULC335	species	1	14	5	20	15
1242174	Dyella kyungheensis	species	1	0	4	10	12
3055467	Acetobacterium sp. K1/6	species	2	6	3	9	67
614069	Shewanella glacialipiscicola	species	4	4	6	25	23
50419	Flectobacillus sp.	species	6	1	9	34	40
1926288	Noviherbaspirillum sp.	species	12	11	28	192	237
1924108	uncultured Neglectibacter sp.	species	6	8	10	30	43
105612	Dellaglioa algida	species	1	0	2	5	18
3095337	Selenomonas sp. TAMA-11512	species	11	9	15	44	85
3046689	Cloacibacterium sp. Arc16	species	6	6	29	17	40
3003348	Candidatus Chlorohelix allophototropha	species	2	18	11	145	15
1482717	Alcaligenes pakistanensis	species	8	7	13	19	201
2806348	Devosia sp. SL43	species	2	2	1	12	5
433657	Nocardioides bigeumensis	species	1	2	4	94	7
1848650	Comamonas sp. MYb69	species	4	5	45	12	47
2026190	Bacillus mobilis	species	1	0	1	3	10
3048616	Actimicrobium sp. CCI2.3	species	3	1	2	29	22
2707016	Tepidicella baoligensis	species	12	8	14	20	75
2147	Acholeplasma	genus	40	26	39	95	284
2583851	Elizabethkingia sp. JS20170427COW	species	21	25	171	69	88
2926320	Intestinicryptomonas porci	species	9	16	10	45	178
3096164	Sphingomonas sp. LB3N6	species	3	0	0	0	1
674963	Succinatimonas	genus	3	2	7	25	46
2497486	Flavobacterium sp. RSP46	species	3	3	2	4	55
134621	Limisphaerales	order	14	158	37	589	346
1763540	Saccharibacillus qingshengii	species	1	0	0	4	6
260710	Olavius algarvensis spirochete endosymbiont	species	3	3	3	16	51
2812848	Roseiterribacter gracilis	species	2	3	3	14	12
3344873	Peribacillus sp. Hz7	species	1	3	0	2	0
2127060	Rhodopirellula sp. P2	species	1	2	1	12	7
70997	Flavilitoribacter nigricans	species	12	11	54	433	95
1079922	Commensalibacter	genus	2	1	4	18	33
1673725	Peptoniphilus lacydonensis	species	1	1	0	1	6
2039626	Longimonas sp.	species	5	19	50	19	21
1586242	Luteimonas arsenica	species	4	12	33	75	69
1498499	Legionella norrlandica	species	2	0	6	21	2
3072142	Hyphomicrobium sp. LHD-15	species	2	2	5	61	19
592361	Pseudomonas peli	species	7	1	16	51	139
1963018	Chitinimonas lacunae	species	6	7	8	49	72
76759	Pseudomonas monteilii	species	5	5	9	8	22
3024404	Massilia sp. DJPM01	species	7	12	27	27	44
3040353	Salinibacter grassmerensis	species	1	3	0	6	8
1084526	Nibrella saemangeumensis	species	2	6	3	102	11
2038411	Imperialibacter sp.	species	2	4	6	37	92
2879116	Pseudochrobactrum sp. XF203	species	1	2	4	3	2
2502183	Telmatospirillum sp. J64-1	species	10	13	9	107	103
3438749	Blautia sp. Sow4_E7	species	6	7	21	26	31
1150	Oscillatoriales	order	26	64	55	379	127
1305	Streptococcus sanguinis	species	9	8	45	32	38
1608400	Algibacter amylolyticus	species	2	0	0	1	4
472583	Ignatzschineria indica	species	3	1	7	5	16
2681411	Rhizobium sp. 18065	species	1	1	15	1	12
2541732	Flavobacterium caseinilyticum	species	6	7	13	25	242
29365	Hathewaya proteolytica	species	7	0	19	25	81
671990	Serratia sp. FGI94	species	1	0	0	0	1
196013	Caldimonas	genus	6	10	18	66	104
319475	Clostridium lundense	species	5	5	20	13	41
2841507	Alkaliphilus flagellatus	species	2	1	6	8	19
512762	Kineococcus xinjiangensis	species	2	4	0	36	4
3122420	Spiribacter onubensis	species	8	4	5	10	14
2371	Xylella fastidiosa	species	22	28	120	286	779
2600304	Baekduia	genus	2	15	3	67	14
2292982	Blautia sp. OF11-22	species	6	5	21	11	20
706185	Flavobacterium cheonhonense	species	4	2	2	17	20
2020869	Pseudochelatococcus sp.	species	2	3	6	20	14
2763020	Bacteroides sp. NSJ-48	species	4	0	0	2	6
712710	Tannerella serpentiformis	species	5	12	26	29	208
1655429	Savagea	genus	3	0	0	1	1
3037259	Flexibacterium corallicola	species	3	2	1	7	3
1689250	Gorillibacterium	genus	2	0	3	14	9
1945863	Algoriphagus sp. A40	species	5	1	5	38	30
3056650	Candidatus Palauibacter	genus	13	41	24	143	24
209639	Marinobacter lipolyticus	species	1	0	3	4	3
169134	Citricoccus muralis	species	2	2	0	3	3
3119057	Roseateles microcysteis	species	2	1	5	2	5
1736606	Lysobacter sp. Root916	species	4	1	9	24	16
2782209	Halpernia sp.	species	9	11	51	42	183
2547429	Segetibacter sp. 3557_3	species	2	2	3	45	46
2292075	Sutterella sp. AM11-39	species	20	18	23	74	283
2080416	Flavobacterium alvei	species	13	4	24	72	398
2507159	Clostridium sp. JN-9	species	6	6	3	12	20
3015999	Brevundimonas sp. NIBR11	species	2	4	8	20	42
218205	Garciella nitratireducens	species	10	21	32	31	93
438033	Ruminococcus gauvreauii	species	7	6	15	48	59
3386644	Chryseobacterium sp. MMS23-Vi53	species	1	0	1	2	13
2984192	Pseudaquabacterium inlustre	species	3	3	11	30	33
398555	Agrilactobacillus composti	species	4	2	9	2	12
3396171	Floridanema fluviatile	species	3	4	1	7	4
2774145	Pseudomarimonas arenosa	species	7	27	16	146	60
765840	Moraxella macacae	species	11	10	90	16	35
3160962	Psychrobacter sp. ASPA161_6	species	1	1	13	42	24
3058402	Terrisporobacter vanillatitrophus	species	3	1	5	13	53
2768738	Spartinivicinus	genus	5	17	13	43	39
453579	uncultured Tepidimonas sp.	species	1	3	0	48	1
456330	Caldanaerobius fijiensis	species	5	17	4	41	35
57001	Amaricoccus macauensis	species	24	106	125	120	616
3019086	Gallibacterium faecale	species	11	5	9	5	11
354349	Pseudochrobactrum	genus	8	53	64	98	194
2795732	Comamonas sp. NyZ500	species	2	2	10	17	22
1101373	Tepidimonas fonticaldi	species	11	11	35	119	133
33035	Blautia producta	species	17	37	107	550	374
3448124	Planctomicrobium sp. SH661	species	6	51	22	120	46
2305240	Clostridium sp. AM25-23AC	species	16	2	25	16	56
3093855	Psychrobacter sp. R86515	species	1	0	1	14	3
2575872	Bauldia sp.	species	4	20	15	268	24
1909423	Cellulomonas citrea	species	3	9	16	177	72
2498111	Legionella sp. km772	species	5	8	14	96	11
340071	Candidatus Criblamydia sequanensis	species	11	95	79	226	114
332657	Polaromonas aquatica	species	2	6	14	147	73
3375145	Flavobacterium sp. RNTU_13	species	2	4	4	14	18
1945520	Psychrobacter pasteurii	species	25	29	11	159	26
1650661	Clostridium phoceensis	species	6	6	22	34	64
1760811	uncultured Acetobacteroides sp.	species	23	97	140	54	772
1816678	Christensenella timonensis	species	9	18	29	37	67
3156346	Brevundimonas sp. UYEF29	species	2	4	2	4	3
1075417	Catalinimonas alkaloidigena	species	4	15	13	82	64
1549648	Chryseobacterium echinoideorum	species	14	6	61	53	107
1490484	Mycobacterium sp. ST-F2	species	12	42	98	44	35
196588	Erythrobacter cryptus	species	6	6	10	29	25
1917883	Bacteroides togonis	species	2	1	5	18	23
1774951	Lysobacter zhanggongensis	species	2	5	3	12	26
1970232	Tsukamurella hominis	species	1	1	10	1	17
2292968	Blautia sp. AF34-10	species	5	0	17	6	21
2726452	Faecalibacillus sp. H12	species	6	3	7	23	16
3436817	Neisseria sp. P0021.S002	species	7	7	51	11	69
3065910	Janthinobacterium sp. J1-1	species	3	3	1	1	5
2857060	Mycobacterium sp. SMC-8	species	1	0	5	38	4
2954629	Robertmurraya sp. FSL W8-0741	species	1	0	0	0	1
1633495	Endozoicomonas arenosclerae	species	2	3	0	4	9
74314	Brevundimonas alba	species	2	1	1	10	4
1693	Bifidobacterium minimum	species	6	17	77	76	41
1965604	Anaeromassilibacillus sp. An250	species	8	3	12	19	88
39840	Desulforhabdus	genus	11	145	42	64	48
1960156	Abditibacterium utsteinense	species	7	50	42	180	151
882824	Knoellia locipacati	species	1	1	1	77	15
2911172	Solitalea lacus	species	4	5	4	29	48
66269	Pantoea stewartii	species	3	1	4	0	10
940149	Dongia rigui	species	28	2	23	30	37
120956	Facklamia miroungae	species	6	0	0	6	18
2048255	Sporosarcina sp. P21c	species	1	0	3	1	10
2686094	Terricaulis silvestris	species	6	7	7	22	48
2856337	Bacillus sp. sid0103	species	1	0	0	2	2
2014005	Bacillus sp. FJAT-44742	species	3	9	21	11	28
3148824	Pollutimonas sp. H1-120	species	4	18	31	36	80
101	Flectobacillus	genus	1	4	3	27	44
986710	Cohnella cellulosilytica	species	1	2	2	11	9
361500	Anaerococcus degeneri	species	1	0	0	0	1
35700	Heliophilum fasciatum	species	7	11	29	91	83
75309	Rhodanobacter	genus	32	79	146	321	1231
13276	Suttonella indologenes	species	11	53	89	16	53
1274	Dermacoccus nishinomiyaensis	species	4	1	11	76	35
1523429	Rhizobium sp. AAP116	species	2	1	2	0	1
884107	Schleiferia thermophila	species	10	11	23	56	251
712365	Leptotrichia sp. oral taxon 417	species	2	4	18	15	135
3029194	Mesorhizobium sp. CC13	species	2	0	0	4	3
2994035	Sellimonas catena	species	3	1	11	7	19
2126983	Acinetobacter stercoris	species	11	7	235	28	71
278067	uncultured Sneathia sp.	species	10	13	30	23	76
2880942	Zeimonas	genus	23	33	46	467	133
2949834	Providencia sp. PROV123	species	8	16	71	13	134
2939460	Parvivirga hydrogeniphila	species	3	28	5	117	13
2173039	Arcticibacterium	genus	1	2	4	16	6
1859289	Faecalibacter macacae	species	3	1	12	18	16
53412	Metapseudomonas resinovorans	species	2	1	5	18	61
2150	Haploplasma modicum	species	10	8	14	26	140
2923436	Belliella calami	species	2	1	2	10	34
2576942	Tateyamaria sp. syn59	species	1	0	0	0	1
336276	Olleya	genus	1	3	2	3	14
3129236	Luteimonas sp. MJ250	species	4	13	10	45	86
191412	Chlorobiaceae	family	20	101	55	232	220
2940486	Luteimonas galliterrae	species	3	2	5	24	36
2608897	unclassified Bifidobacterium	no rank	3	4	6	15	26
185950	Sphingomonas faeni	species	5	9	16	18	37
153494	Rarobacter incanus	species	2	5	13	18	34
29370	Lacrimispora sphenoides	species	6	2	6	46	46
2817018	Faecalibacterium sp. Marseille-Q4896	species	1	1	12	11	31
3108754	Algoriphagus persicinus	species	4	2	5	18	46
210623	Anoxynatronum sibiricum	species	8	7	18	15	59
29562	Mesomycoplasma ovipneumoniae	species	5	11	20	54	195
2836216	Phnomibacter	genus	20	11	61	127	387
467210	Lachnoanaerobaculum saburreum	species	9	6	10	46	65
1736474	Sphingopyxis sp. Root1497	species	2	1	9	15	38
1848720	Pseudomonas sp. MYb118	species	1	1	2	1	8
1582270	Acinetobacter populi	species	20	1	79	70	115
56361	Sphingomonas ursincola	species	27	55	174	89	145
267128	Sphingopyxis granuli	species	11	64	101	469	272
2072846	Adhaeribacter arboris	species	3	0	2	14	42
659	Photobacterium phosphoreum	species	4	4	23	8	23
1478221	Anaeromicrobium sediminis	species	6	6	12	34	47
297244	Chryseobacterium shigense	species	5	3	19	12	21
2376	Sporomusa paucivorans	species	6	1	12	0	16
364410	Granulibacter bethesdensis	species	1	2	0	15	9
2589815	Amaricoccus solimangrovi	species	4	4	16	25	46
2845823	Roseomonas sp. CECT 9278	species	3	16	7	149	34
2663823	Sphingopyxis sp. OAS728	species	7	20	16	55	65
119219	Cupriavidus metallidurans	species	13	20	79	116	290
3088171	Planktothrix sp.	species	2	4	12	119	15
186823	Alicyclobacillaceae	family	5	9	8	23	19
2527983	Caulifigura coniformis	species	20	102	96	248	144
875041	Neogemmobacter tilapiae	species	1	12	20	27	62
457412	Ruminococcus sp. 5_1_39BFAA	species	14	9	48	83	129
1467	Lederbergia lenta	species	2	0	12	1	7
68174	Streptomyces anthocyanicus	species	2	0	0	4	0
2820300	Succinivibrio faecicola	species	3	0	3	28	15
2887199	Massilia sp. IC2-476	species	1	1	0	0	2
2992111	Plebeiibacterium marinum	species	10	6	22	54	693
33959	Lactobacillus johnsonii	species	11	21	46	33	63
2872701	Thermomonas beijingensis	species	11	14	48	119	169
553447	Methylobacterium soli	species	1	1	1	3	7
420955	Sphingobium olei	species	4	1	4	13	5
1760988	Methylomagnum ishizawai	species	13	28	19	1902	123
1849104	Neoaquamicrobium sediminum	species	7	18	36	54	45
1920175	Polaribacter sp.	species	15	15	34	152	269
1658109	Candidatus Stoquefichus sp. SB1	species	7	2	11	22	48
2035255	Candidatus Methanoperedens sp. BLZ2	species	5	19	3	48	36
488447	Burkholderia contaminans	species	4	5	13	54	64
1735038	Oryzomicrobium terrae	species	9	4	21	52	96
2996787	Nannocystis sp. SCPEA4	species	4	1	2	30	1
2767891	Schleiferilactobacillus	genus	4	8	24	30	47
1263098	uncultured Parasutterella sp.	species	11	18	29	23	84
2479853	Pseudomonas sp. o96-267	species	12	2	42	39	143
3278708	Mannheimia sp. E30BD	species	1	0	0	3	5
698827	Desulfonatronovibrio magnus	species	9	59	29	1252	113
2293137	Roseburia sp. AF42-8	species	7	5	3	6	21
279360	Roseivirga ehrenbergii	species	1	0	1	6	5
1141890	Sphingomonas guangdongensis	species	3	0	10	7	7
1004260	Capnocytophaga catalasegens	species	6	5	13	32	40
3139173	Candidatus Chlorohelix	genus	10	38	9	133	21
38986	Acholeplasma palmae	species	6	2	9	23	45
2576305	Rhodoferax bucti	species	8	11	25	126	469
2185115	Tabrizicola soli	species	10	32	60	431	274
1947273	Proteiniphilum sp. UBA5280	species	2	2	2	1	9
723921	Natroniella sulfidigena	species	2	3	3	6	14
1802247	Sulfuricurvum sp. RIFCSPLOWO2_12_FULL_43_24	species	4	2	2	3	38
2681969	Oceanobacillus sp. AG	species	1	0	0	0	0
2601054	Acinetobacter sp. YH12049	species	4	0	14	42	10
1476996	Arthrobacter liuii	species	1	0	0	27	0
3051218	Jeongeupia wiesaeckerbachi	species	3	6	11	22	23
2619133	unclassified Chitinophaga	no rank	4	20	14	61	84
1969173	Blautia sp. LMAG:89	species	2	5	4	1	9
