	ALB.17_ERR1713331_db11.ganon_report.tre	AUS.18_ERR1713332_db11.ganon_report.tre	AUS.18a_ERR1713333_db11.ganon_report.tre	AUT.70_ERR1713334_db11.ganon_report.tre	BGR.66_ERR1713335_db11.ganon_report.tre	BRA.53_ERR1713336_db11.ganon_report.tre	BRA.53a_ERR1713337_db11.ganon_report.tre	BWA.19_ERR1713338_db11.ganon_report.tre	CAN.22_ERR1713339_db11.ganon_report.tre	CAN.22a_ERR1713340_db11.ganon_report.tre	CAN.22b_ERR1713341_db11.ganon_report.tre	CAN.22c_ERR1713342_db11.ganon_report.tre	CHE.67_ERR1713343_db11.ganon_report.tre	CHN.64_ERR1713344_db11.ganon_report.tre	CIV.13_ERR1713345_db11.ganon_report.tre	COL.2_ERR1713346_db11.ganon_report.tre	CZE.23_ERR1713347_db11.ganon_report.tre	DEU.27_ERR1713348_db11.ganon_report.tre	DNK.71_RA_ERR1713349_db11.ganon_report.tre	DNK.71_RD_ERR1713350_db11.ganon_report.tre	DNK.71_RL_ERR1713351_db11.ganon_report.tre	ECU.14_ERR1713352_db11.ganon_report.tre	ECU.14a_ERR1713353_db11.ganon_report.tre	ESP.75_ERR1713354_db11.ganon_report.tre	ETH.24_ERR1713355_db11.ganon_report.tre	FIN.25_ERR1713356_db11.ganon_report.tre	GEO.59_ERR1713357_db11.ganon_report.tre	GHA.4_ERR1713358_db11.ganon_report.tre	HRV.68_ERR1713360_db11.ganon_report.tre	HUN.61_ERR1713361_db11.ganon_report.tre	IND.11_ERR1713362_db11.ganon_report.tre	IRL.69_ERR1713363_db11.ganon_report.tre	IRN.12_ERR1713364_db11.ganon_report.tre	ISL.28_ERR1713365_db11.ganon_report.tre	ISR.29_ERR1713366_db11.ganon_report.tre	ITA.30_ERR1713367_db11.ganon_report.tre	KAZ.6_ERR1713368_db11.ganon_report.tre	KEN.72_ERR1713369_db11.ganon_report.tre	KHM.21_ERR1713370_db11.ganon_report.tre	LKA.40_ERR1713371_db11.ganon_report.tre	LUX.32_ERR1713372_db11.ganon_report.tre	LVA.31_ERR1713373_db11.ganon_report.tre	MDA.65_ERR1713374_db11.ganon_report.tre	MKD.62_ERR1713375_db11.ganon_report.tre	MLT.63_ERR1713376_db11.ganon_report.tre	MYS.54_ERR1713377_db11.ganon_report.tre	NGA.50_ERR1713378_db11.ganon_report.tre	NLD.43_ERR1713379_db11.ganon_report.tre	NOR.34_ERR1713380_db11.ganon_report.tre	NPL.33_ERR1713381_db11.ganon_report.tre	NZL.56_ERR1713382_db11.ganon_report.tre	PAK.7_ERR1713384_db11.ganon_report.tre	PER.35_ERR1713385_db11.ganon_report.tre	POL.36_ERR1713383_db11.ganon_report.tre	SEN.8_ERR1713386_db11.ganon_report.tre	SGP.52_ERR1713387_db11.ganon_report.tre	SRB.37_ERR1713388_db11.ganon_report.tre	SVK.9_ERR1713389_db11.ganon_report.tre	SVN.38_ERR1713390_db11.ganon_report.tre	SWE.41_ERR1713391_db11.ganon_report.tre	SWE.41a_ERR1713392_db11.ganon_report.tre	TCD.1_ERR1713393_db11.ganon_report.tre	TGO.44_ERR1713394_db11.ganon_report.tre	TUR.46_ERR1713395_db11.ganon_report.tre	TZA.15_ERR1713396_db11.ganon_report.tre	USA.74_ERR1713397_db11.ganon_report.tre	USA.74a_ERR1713398_db11.ganon_report.tre	USA.74b_ERR1713399_db11.ganon_report.tre	USA.74c_ERR1713400_db11.ganon_report.tre	USA.74d_ERR1713401_db11.ganon_report.tre	USA.74e_ERR1713402_db11.ganon_report.tre	USA.74f_ERR1713403_db11.ganon_report.tre	USA.74g_ERR1713404_db11.ganon_report.tre	USA.74h_ERR1713405_db11.ganon_report.tre	USA.74i_ERR1713406_db11.ganon_report.tre	VNM.48_ERR1713407_db11.ganon_report.tre	XK.60_ERR1713408_db11.ganon_report.tre	ZAF.39_ERR1713409_db11.ganon_report.tre	ZMB.49_ERR1713410_db11.ganon_report.tre	ZMB.49b_ERR1713411_db11.ganon_report.tre
Tahibacter	3	29	1	1	59	5	2	0	1	0	3	23	4	21	4	0	1	4	5	3	2	3	1	14	6	35	1	1	0	1	6	5	0	18	0	13	3	13	2	0	21	5	3	0	0	6	1	0	52	0	3	6	4	1	3	14	5	2	3	31	42	0	9	0	6	14	5	5	4	45	10	0	0	3	5	1	1	0	0	7
Timonella	0	0	0	0	0	0	0	0	0	1	1	8	1	1	0	0	92	1	3	8	1	0	0	0	3	5	0	0	2	0	0	0	0	0	0	1	9	0	2	0	6	0	5	5	1	0	0	0	1	4	0	3	0	2	1	0	0	0	9	3	1	0	0	1	1	1	0	0	0	0	0	0	0	0	3	0	7	1	0	0
Bacteriovorax	54	105	10	45	130	34	8	32	14	5	25	125	4	57	15	2	16	7	124	63	43	8	125	31	47	42	3	2	32	6	21	23	27	28	2	152	126	78	2	13	182	28	35	39	4	85	35	6	32	14	40	24	103	61	14	88	57	26	49	93	87	0	0	3	49	128	12	4	64	53	126	9	3	51	24	3	121	61	39	31
Thermosynechococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocoenobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Halorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Azonexus	70	42	18	53	105	64	2211	146	17	6	43	631	124	830	454	7	134	41	383	306	106	26	257	108	293	182	25	1338	120	27	3125	49	107	242	9	356	184	153	66	57	197	30	36	90	55	243	91	137	75	8	61	378	85	76	80	161	53	120	71	275	109	3	20308	25	721	128	41	190	160	55	87	33	30	414	136	197	40	128	945	577
Azospira	833	423	210	605	572	504	3682	1110	123	51	276	1412	277	2586	1068	259	634	290	1956	2040	1009	283	819	1184	2259	654	115	1332	692	197	7588	758	620	902	66	1929	1328	1827	259	246	3091	393	479	945	495	874	772	202	765	82	478	1192	698	520	514	1194	600	1209	823	1548	823	11	1168	152	4172	1312	324	262	1184	1048	601	204	203	5307	770	712	875	743	3260	1818
Jeotgalibaca	2803	221	382	3195	401	261	111	105	901	398	3452	7586	920	212	522	288	2722	1477	5090	7436	5026	186	163	1210	2132	3813	174	234	1804	310	151	2635	292	875	263	558	2565	1957	126	138	7334	1480	2354	1715	850	41	452	58	698	33154	2107	1335	799	3749	356	64	4214	2228	19981	6252	1550	41	5277	356	757	403	1188	572	666	4033	463	95	310	3731	1760	69	11315	318	618	82
Thermobispora	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
Draconibacterium	0	0	0	0	1	0	3	0	0	0	0	1	2	4	0	0	0	0	3	2	0	0	0	0	0	0	0	14	0	1	0	1	0	0	0	2	0	1	1	0	0	1	1	1	122	1	0	1	0	0	0	14	1	0	1	1	0	1	2	0	0	0	38	0	0	1	2	0	0	0	1	0	0	2	1	0	0	0	0	0
Basilea	1	7	1	0	2	20	3	5	0	0	0	0	1	2	9	0	1	1	0	4	0	1	0	1	28	0	2	0	1	0	6	1	3	1	0	3	10	21	1	2	3	2	3	1	0	15	3	0	0	5	1	2	2	0	1	14	0	0	1	6	1	0	3	0	16	0	1	2	0	2	1	0	0	0	1	3	0	24	22	11
Enorma	1	1	1	7	2	5	1	5	0	1	2	4	0	6	1	4	2	0	4	15	2	0	4	2	4	4	0	0	4	1	5	7	1	1	1	3	0	1	1	1	6	3	0	2	3	13	3	0	0	23	1	5	5	7	4	0	9	7	9	11	2	0	0	0	1	9	1	1	3	9	2	5	0	9	5	0	3	5	6	2
Peptoclostridium	904	338	647	384	276	1217	269	267	131	67	623	877	124	52	968	244	1581	467	940	1288	536	501	270	525	5163	850	27	130	467	86	68	180	763	98	108	594	1537	994	62	49	399	446	1030	639	1535	97	159	43	133	927	757	427	3339	678	528	128	605	384	1363	1469	368	9	1758	104	260	431	106	70	2712	568	2501	405	303	4041	1593	20	1502	1578	426	570
Methyloceanibacter	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Clostridium	1287	244	463	1978	611	1487	871	995	118	82	1008	1502	536	903	2889	2053	1945	803	2490	4592	2582	172	1665	1052	4487	1352	57	547	783	517	4520	1518	932	650	475	816	1366	5742	2728	445	2524	947	1013	1677	661	2009	4258	160	712	15729	445	4318	8560	1928	2682	481	4316	1569	8290	3231	1609	84	2898	131	3232	2116	1465	432	3238	4191	2351	770	1219	4530	1382	125	5633	3283	5607	1321
Methylomarinovum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteinivorax	1	0	0	1	0	0	0	0	1	0	3	3	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	5	0	0	0	3	0	1	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0
Oxynema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tepidibacillus	0	0	1	0	5	1	22	3	0	1	1	0	0	7	7	4	0	0	1	1	3	2	10	1	10	1	1	8	0	2	21	1	1	0	0	0	5	38	84	5	2	1	0	1	2	2	19	2	1	65	0	59	7	1	6	0	0	0	1	0	1	0	130	1	32	5	0	9	0	1	2	2	0	10	4	1	2	0	7	3
Thermoflexus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilia	127	11	14	35	30	65	18	3	9	5	25	27	49	380	30	13	40	80	81	142	107	1116	9	21	131	19	493	30	17	13	24	69	57	16	5	75	14	21	17	5	122	11	41	19	2	9	23	4	20	40	184	66	437	44	17	9	48	238	45	44	40	35	1	38	31	20	84	6	27	27	11	2	46	65	22	1217	169	7	95	21
Finegoldia	14	2	2	11	10	0	2	5	0	1	15	33	3	2	7	5	7	5	7	37	10	2	19	13	7	12	1	0	10	3	1	17	3	4	5	3	1	9	1	1	13	4	2	11	3	5	5	2	5	75	3	8	37	18	12	0	16	11	28	35	17	0	0	1	1	21	13	1	24	34	16	5	0	57	5	0	12	17	9	0
Romboutsia	145	7	18	32	5	26	30	45	4	4	38	34	9	38	108	245	10	9	19	42	35	4	83	37	158	6	7	22	14	5	32	43	25	3	38	7	20	121	108	28	49	16	41	36	22	46	200	1	6	665	4	94	155	29	305	23	71	25	112	72	17	6	77	0	34	459	37	10	43	53	41	11	8	125	21	5	247	218	189	90
Blastomonas	65	14	1	31	33	22	8	0	4	7	58	108	102	47	8	5	46	27	74	54	51	41	7	22	31	15	29	8	13	10	13	114	18	82	1	164	25	9	16	0	150	23	44	41	40	14	5	3	139	24	47	16	29	24	5	35	89	17	76	73	17	0	61	21	1	124	20	421	43	28	31	122	5	114	191	13	127	17	13	10
Alsobacter	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	2	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0
Anoxybacillus	30	3	165	51	14	15	19	6	6	10	42	52	29	20	20	19	37	33	77	101	80	8	6	17	12	9	27	11	24	2	3	93	10	217	17	40	173	114	53	9	360	7	12	10	9	39	42	4	16	74	15	24	62	38	16	32	16	114	9063	42	32	2	12	10	29	20665	11	55	25	169	34	7	33	34	123	13	10	39	40	6
Pleionea	1	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	3	0	2	1	0	1	3	3	0	0	0	0	38	0	1	0	0	0	3	2	1	5	1	4	2	1	1	0	0	0	0	0	0	18	1	0	14	4	0	1	0	0	3	0	0	0	8	5	0	0	2	0	2	0	1	5	2	2	1	1	2	0
Pseudocitrobacter	37	12	11	32	13	36	362	315	9	3	47	20	2	140	190	175	10	39	114	55	37	20	189	85	207	33	4	18	7	5	331	34	28	8	23	30	34	125	221	397	66	21	27	11	475	97	59	3	24	18	17	836	180	27	2909	169	28	19	27	45	31	32	13	8	156	27	9	17	567	84	87	19	49	177	112	217	19	195	302	297
Terrisporobacter	65	13	37	90	140	54	216	16	97	34	362	468	47	23	90	58	6502	40	169	495	93	11	23	1451	168	218	39	44	76	28	28	74	93	13	14	18	236	177	54	96	134	163	364	760	51	10	159	18	38	1739	46	646	229	353	133	9	216	102	193	537	45	14	346	34	121	178	66	60	201	329	33	20	19	2057	57	8	493	93	112	39
Intestinibacter	874	102	311	442	73	220	145	255	36	43	595	433	168	155	619	1681	292	294	578	1270	618	35	810	584	1275	378	45	41	284	79	230	691	266	106	263	198	224	1042	488	131	767	228	357	436	89	148	1569	20	121	6872	92	1181	838	566	1628	120	923	236	1445	865	388	23	552	29	272	3476	377	95	628	1082	1005	284	179	1203	344	19	3974	1145	1105	682
Gottschalkia	1	3	0	1	0	1	0	2	0	0	0	0	1	0	0	1	0	1	1	9	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	3	0	2	1	1	0	0	0	0	5	2	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	1	1	0
Lachnoclostridium	232	84	161	841	97	416	36	114	61	29	283	698	218	86	100	469	373	172	666	1626	800	55	300	272	210	465	13	8	182	104	371	766	135	174	60	222	202	255	70	27	825	211	198	429	180	292	258	17	296	671	134	186	432	664	143	151	717	345	1695	1533	629	0	1714	9	288	1056	621	89	861	1188	653	239	143	1272	412	10	683	419	397	178
Protoparvovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyzzerella	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	3	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	1	0	4	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	1	5	0	0	0	1	0	2	0	1	2	0	0	0	2	1	0	12	0	0	0
Bocaparvovirus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Roseibium	0	2	1	2	3	1	3	6	0	0	3	9	1	24	3	0	2	3	2	4	8	3	1	0	5	0	1	6	2	0	1	1	0	0	2	1	4	2	24	0	0	2	2	3	3	3	4	0	0	1	1	2	1	2	6	8	3	1	6	5	2	0	38	0	2	14	3	0	0	3	0	0	0	1	3	31	1	0	3	1
Polymorphobacter	2	0	0	0	3	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	124	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Ruminiclostridium	44	1	5	22	3	6	40	6	17	2	46	206	7	8	15	17	100	11	143	90	73	2	3	42	39	35	2	29	50	17	13	102	4	0	13	6	35	31	38	4	38	19	200	49	21	2	13	5	9	282	39	33	2	291	11	8	41	19	308	38	11	0	218	1	68	15	70	53	36	65	30	4	8	106	22	6	249	4	14	2
Candidatus Nucleicultrix	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	5	8	4	0	0	0	0	1	0	0	0	0	11	0	1	1	0	0	0	0	0	0	2	1	0	3	0	1	0	0	2	0	1	0	0	0	0	7	0	3	0	5	3	0	1	0	3	1	1	0	0	1	0	0	0	2	0	2	0	0	1	0
Aquisphaera	0	1	0	0	0	0	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Defluviitoga	672	501	763	68	63	8	4	555	530	207	451	513	3	353	4288	494	5328	917	4	2	3	556	240	7	1176	685	4	763	1	20	533	3	312	796	1579	794	602	1	573	679	814	715	1	3	4	3	154	2	1077	938	7	658	1331	1436	2635	3	524	488	1424472	7	17	257	12	4919	951	2	5	8	12	65	7	5	3	83	129	9	4	2315	4	0
Mongoliitalea	0	4	0	0	5	1	0	0	3	0	3	0	0	2	0	0	35	0	6	6	3	27	0	0	0	5	0	15	2	0	0	4	0	0	0	5	14	0	0	0	0	5	1	3	1	0	1	1	3	2	0	2	0	0	1	0	0	2	1	6	4	0	219	3	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Alphanudivirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Copiparvovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tetraparvovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marseillevirus	0	0	0	1	0	0	0	0	0	0	0	6	0	1	1	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	1	2	0	5	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	8	0	0	0
Wenyingzhuangia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thalassotalea	1	4	0	0	2	0	2	3	0	0	1	0	0	6	12	0	0	3	3	3	0	0	1	3	2	6	0	0	0	0	24	3	0	0	0	7	6	0	1	4	4	2	1	2	5	0	0	2	0	1	3	11	9	0	42	17	0	0	0	0	1	0	8	0	59	11	1	0	13	4	2	1	1	19	7	117	2	1	11	3
Nguyenibacter	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	8	0	0	0	0	0
Starkeya	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stappia	1	0	1	0	0	0	0	4	0	0	1	2	1	0	0	2	5	1	7	0	0	2	0	2	2	2	0	0	1	0	0	3	3	0	0	0	2	0	0	0	0	2	0	0	2	2	4	1	1	3	1	4	4	4	1	1	0	3	3	1	0	0	0	1	2	5	0	0	2	3	2	0	1	9	3	1	2	5	4	2
Flaviflexus	177	34	14	66	9	21	21	284	15	7	12	46	19	13	130	34	67	62	90	100	29	48	117	24	333	37	1	135	172	43	21	186	78	4	12	85	119	170	30	7	161	41	119	86	108	19	71	1	17	1241	34	282	271	351	248	4	112	108	215	92	17	4	54	38	41	21	5	6	93	45	35	15	25	482	177	11	616	121	74	38
Catalinimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Trichorickettsia	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Pseudoduganella	15	2	0	124	16	10	9	3	2	0	21	28	1	53	6	4	5	8	32	124	18	131	1	4	28	13	143	5	28	1	10	27	2	30	1	29	60	19	2	1	107	7	48	4	6	4	2	1	27	0	45	24	9	10	2	3	3	136	36	48	16	0	4	445	23	21	19	19	11	27	18	2	11	36	9	23	10	2	17	16
Pigmentiphaga	255	67	29	759	408	51	51	274	26	14	116	638	147	80	164	6	293	631	361	478	277	100	47	143	112	629	13	85	254	66	137	194	57	141	64	189	337	79	95	49	617	252	178	213	82	146	329	11	310	41	66	164	94	127	134	214	409	564	506	1805	719	7	310	315	47	303	57	378	247	164	145	50	39	944	156	56	595	139	148	109
Vulgatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labilithrix	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudohongiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Neorhizobium	143	23	9	67	19	15	12	34	4	3	35	90	5	30	23	85	26	12	31	86	20	488	32	14	89	41	1	14	14	3	13	196	30	3	5	33	30	27	16	3	161	22	30	24	13	18	12	0	14	543	67	22	48	57	67	36	29	39	58	50	23	0	2	73	7	62	38	8	24	32	91	23	6	44	62	23	65	77	43	20
Alpharetrovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammaretrovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oceanicaulis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aequorivita	10	2	0	11	8	1	2	1	3	1	8	28	10	46	2	0	6	4	218	33	14	98	1	1	30	11	29	13	3	6	2	45	4	9	2	77	17	9	2	1	43	7	14	10	26	0	3	2	42	26	71	11	20	259	4	0	9	11	7	95	26	0	23	285	6	8	5	24	3	2	0	0	0	25	53	77	16	1	3	1
Kozakia	1	0	0	0	0	5	0	0	0	0	0	0	0	2	8	0	0	0	2	1	0	0	0	0	2	0	0	2	0	0	8	0	0	0	1	0	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	10	4	0	7	1	0	2	0	0	1	0	0	0	0	3	0
Barrientosiimonas	10	1	1	6	3	0	8	1	0	0	0	2	2	6	29	6	3	6	11	30	17	0	7	1	8	2	1	5	8	2	64	2	11	1	4	4	8	15	21	2	23	3	6	7	0	24	47	0	3	31	0	29	14	9	18	4	17	5	30	12	13	0	6	0	2	2	0	1	1	0	1	2	0	5	3	3	16	6	24	11
Bacterioplanes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgenia	16	2	4	22	5	10	7	18	2	2	18	15	10	19	51	7	24	24	58	98	68	4	14	15	41	16	4	59	10	2	12	9	3	5	0	7	25	109	41	2	27	2	7	10	3	5	56	0	6	135	1	80	41	9	10	6	60	14	42	44	15	1	5	11	40	2	7	5	2	6	2	1	8	30	16	2	29	7	22	11
